"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,3
"146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,41,0,0,NA,NA
"147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,11,NA,NA
"148",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,47,238,177,NA,200,123,36,77,468,532,300,1006
"149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,NA,NA,NA,55,0,0,0,0
"150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,0,2,0,0,0,0,0,0
"151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,41,52,NA,0,2,5,35,60
"152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,15,NA,NA,NA,NA
"154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,120,NA,NA,NA,NA,10,NA,NA,NA,0,0,0,0,0
"155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA
"156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,36,0,2,NA,NA,0,0,0,0,8,29
"157",0,0,0,0,0,0,0,0,0,0,0,0,0,80,60,30,0,20,44,0,0,0,0,0,0,0,4,0
"158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,20,0,0,0,0
"159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,2
"160",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1080,292,NA,572,5600,10200,0,5,0,NA,4,NA,NA,0,NA,NA,NA,NA
"161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,21,22,0,8,36,0,0,0,0,8,0
"162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,26,40,40,16,24,0,22,0,6,17,0
"163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,0,NA,50,0,0,0,0,0,13,22,24
"164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,25,0,0,0,0,0
"165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,0,NA,196,0,0,0,88,0
"166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,391,183,4681,123
"167",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,22,23,190,14,8,42,75
"168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,0,0,2,5,0,10,10
"169",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,37,6,30,140,80,100,20,48,20,0,20,0
"170",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,4,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,42,0,0,0,250
"172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,NA,0,NA,0,0,0,20,60,0,0,0,0,0,0,0,0
