"","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012"
"2864",0,3040,0,0,0,361,1204,0,0,0,0,483,0,0,0,0,0,0,0,0,0
"2865",0,535,0,0,0,755,932,0,0,0,0,585,0,0,0,0,0,0,0,0,0
"2866",0,210,0,0,0,127,78,0,0,0,0,308,0,0,0,0,0,0,0,0,0
"2867",0,224,0,0,0,137,220,0,0,0,0,76,0,0,0,0,0,0,0,0,0
"2868",0,35,0,0,0,92,22,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"2869",0,228,0,0,0,150,75,0,0,0,0,126,0,0,0,0,0,0,0,0,0
"2930",7,6,0,0,14,24,23,0,0,69,235,0,0,0,0,41,0,202,0,0,0
"2931",91,100,0,0,222,36,9,0,0,30,94,0,0,0,0,97,29,0,154,0,0
"2973",48,38,78,275,0,0,0,82,184,96,387,164,84,0,561,91,104,0,420,98,0
"2974",434,390,118,0,224,0,0,431,485,520,1681,1573,147,0,0,197,520,0,0,596,0
"2977",475,156,290,630,83,0,0,460,529,261,1243,827,432,0,0,0,797,1384,1932,415,0
"2979",109,0,94,62,53,465,0,22,60,78,237,0,194,80,0,24,76,116,0,0,0
"3192",0,99,0,118,70,0,245,385,0,355,0,0,175,0,0,144,156,0,157,0,0
"3193",0,2,0,45,18,0,22,2,13,0,20,0,10,0,0,0,20,0,8,0,0
"3194",0,107,185,36,60,0,6,65,30,90,67,86,7,0,0,0,0,0,25,0,0
"3195",0,28,0,253,45,0,51,4,0,2,0,0,0,0,15,16,25,40,2,0,0
"3198",396,0,275,0,308,444,334,444,0,0,0,91,0,47,0,59,48,76,74,0,0
"3199",0,0,0,408,700,381,313,373,0,339,544,607,361,0,0,520,0,0,599,0,0
"3208",10,0,25,0,0,0,4,0,0,0,0,0,145,0,0,0,0,0,0,0,0
"3210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0
"3211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"3212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3213",1,0,0,0,0,0,2,0,0,0,0,0,208,0,0,0,0,0,0,0,0
"3221",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3223",0,0,0,0,0,7,0,17,0,0,0,50,158,0,65,0,0,0,0,92,0
"3280",0,30,0,40,30,52,25,20,0,14,0,7,30,8,0,4,0,0,8,0,0
"3323",0,959,0,0,0,1094,544,541,373,307,0,848,743,34,597,134,77,617,0,0,0
"3339",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"3349",0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,95,64,0,0,0,0
"3357",0,0,0,0,0,0,0,0,250,0,0,0,0,350,0,0,0,0,0,250,0
"3358",0,0,0,0,0,388,0,0,398,0,0,0,0,1190,0,0,0,506,0,0,0
"3359",0,0,16,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"3360",0,0,3,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
"3361",0,0,0,0,0,0,0,0,28,0,0,0,0,10,0,0,0,0,0,5,0
"3362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3386",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0
"3477",0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3479",3000,0,0,0,0,4250,2800,0,0,0,9010,0,0,0,0,5510,0,0,2500,0,0
"3538",785,0,0,0,0,643,890,0,0,0,639,957,0,0,0,390,0,0,1002,0,0
"3907",104,127,0,0,132,264,211,79,0,0,126,166,73,125,0,170,210,346,140,0,0
"3909",247,192,0,0,35,65,142,94,0,86,82,66,107,102,0,42,0,129,0,0,0
"3911",73,76,0,0,34,6,46,42,0,0,54,107,27,169,0,9,20,26,63,0,0
"3927",4,60,0,0,27,295,66,99,0,0,105,181,125,87,0,67,96,193,251,0,0
"3929",0,94,0,0,114,180,262,347,0,0,491,0,0,0,0,417,346,557,779,0,0
"3983",0,64,71,70,100,0,352,248,297,167,219,240,201,0,0,57,93,140,57,0,0
